Book,Line,Hero,Epithet,Lemma,Samforekomst,Enjambement,Speaker,Addressee,Case,Number,Gender,Tense,Voice,Mood,POS,Source,Confidence,Greek
1,242,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,Achilles,Agamemnon,Gen,Sing,Masc,,,,ADJ,whitelist,high,"τότε δ̓ οὔ τι δυνήσεαι ἀχνύμενός περ χραισμεῖν , εὖτ̓ ἂν πολλοὶ ὑφ̓ Ἕκτορος ἀνδροφόνοιο θνήσκοντες πίπτωσι ·"
2,816,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,2.817_C5,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,Τρωσὶ μὲν ἡγεμόνευε μέγας κορυθαίολος Ἕκτωρ Πριαμίδης ·
2,817,HEKTOR,Πριαμίδης,Πριαμίδης,2.817_C5,,,,Nom,Sing,Masc,,,,NOUN,whitelist,high,Τρωσὶ μὲν ἡγεμόνευε μέγας κορυθαίολος Ἕκτωρ Πριαμίδης ·
3,83,HEKTOR,κορυθαίολος,κορυθαίολος,,,Agamemnon,Greeks,Nom,Sing,Masc,,,,ADJ,whitelist,high,στεῦται γάρ τι ἔπος ἐρέειν κορυθαίολος Ἕκτωρ .
3,314,HEKTOR,Πριάμοιο πάϊς,παῖς Πριάμοιο,,,,,Nom,Sing,Masc,,,,NOUN+NOUN,whitelist,high,"Ἕκτωρ δὲ Πριάμοιο πάϊς καὶ δῖος Ὀδυσσεὺς χῶρον μὲν πρῶτον διεμέτρεον , αὐτὰρ ἔπειτα κλήρους ἐν κυνέῃ χαλκήρεϊ πάλλον ἑλόντες , ὁππότερος δὴ πρόσθεν ἀφείη χάλκεον ἔγχος . [0] [1]"
3,324,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,"ὣς ἄῤ ἔφαν , πάλλεν δὲ μέγας κορυθαίολος Ἕκτωρ ἂψ ὁρόων ·"
4,505,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,χώρησαν δ̓ ὑπό τε πρόμαχοι καὶ φαίδιμος Ἕκτωρ ·
5,211,HEKTOR,δίῳ,δῖος,,,Pandarus,Aeneas,Dat,Sing,Masc,,,,ADJ,whitelist,high,τώ ῥα κακῇ αἴσῃ ἀπὸ πασσάλου ἀγκύλα τόξα ἤματι τῷ ἑλόμην ὅτε Ἴλιον εἰς ἐρατεινὴν ἡγεόμην Τρώεσσι φέρων χάριν Ἕκτορι δίῳ .
5,467,HEKTOR,δίῳ,δῖος,,,Ares-Acamas,Trojans,Dat,Sing,Masc,,,,ADJ,whitelist,high,κεῖται ἀνὴρ ὃν ἶσον ἐτίομεν Ἕκτορι δίῳ Αἰνείας υἱὸς μεγαλήτορος Ἀγχίσαο · [0]
5,471,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,ἔνθ̓ αὖ Σαρπηδὼν μάλα νείκεσεν Ἕκτορα δῖον ·
5,601,HEKTOR,δῖον,δῖος,,,Diomedes,Greeks,Acc,Sing,Masc,,,,ADJ,whitelist,high,ὦ φίλοι οἷον δὴ θαυμάζομεν Ἕκτορα δῖον αἰχμητήν τ̓ ἔμεναι καὶ θαρσαλέον πολεμιστήν ·
5,680,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,καί νύ κ̓ ἔτι πλέονας Λυκίων κτάνε δῖος Ὀδυσσεὺς εἰ μὴ ἄῤ ὀξὺ νόησε μέγας κορυθαίολος Ἕκτωρ ·
5,684,HEKTOR,Πριαμίδη,Πριαμίδης,,,Sarpedon,Hector,Voc,Sing,Masc,,,,NOUN,whitelist,review,"Πριαμίδη , μὴ δή με ἕλωρ Δαναοῖσιν ἐάσῃς κεῖσθαι , ἀλλ̓ ἐπάμυνον ·"
5,689,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ὣς φάτο , τὸν δ̓ οὔ τι προσέφη κορυθαίολος Ἕκτωρ , ἀλλὰ παρήϊξεν λελιημένος ὄφρα τάχιστα ὤσαιτ̓ Ἀργείους , πολέων δ̓ ἀπὸ θυμὸν ἕλοιτο ."
5,699,HEKTOR,χαλκοκορυστῇ,χαλκοκορυστής,,,,,Dat,Sing,Masc,,,,ADJ,whitelist,high,"Ἀργεῖοι δ̓ ὑπ̓ Ἄρηϊ καὶ Ἕκτορι χαλκοκορυστῇ οὔ τε ποτὲ προτρέποντο μελαινάων ἐπὶ νηῶν οὔ τε ποτ̓ ἀντεφέροντο μάχῃ , ἀλλ̓ αἰὲν ὀπίσσω χάζονθ̓ , ὡς ἐπύθοντο μετὰ Τρώεσσιν Ἄρηα . [0]"
5,704,HEKTOR,Πριάμοιο πάϊς,παῖς Πριάμοιο,,,,,Nom,Sing,Masc,,,,NOUN+NOUN,whitelist,high,ἔνθα τίνα πρῶτον τίνα δ̓ ὕστατον ἐξενάριξαν Ἕκτωρ τε Πριάμοιο πάϊς καὶ χάλκεος Ἄρης ; [0]
6,116,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,ὣς ἄρα φωνήσας ἀπέβη κορυθαίολος Ἕκτωρ ·
6,263,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,τὴν δ̓ ἠμείβετ̓ ἔπειτα μέγας κορυθαίολος Ἕκτωρ ·
6,318,HEKTOR,φίλος,φίλος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ἔνθ̓ Ἕκτωρ εἰσῆλθε Διῒ φίλος , ἐν δ̓ ἄρα χειρὶ ἔγχος ἔχ̓ ἑνδεκάπηχυ ·"
6,342,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ὣς φάτο , τὸν δ̓ οὔ τι προσέφη κορυθαίολος Ἕκτωρ ·"
6,359,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,τὴν δ̓ ἠμείβετ̓ ἔπειτα μέγας κορυθαίολος Ἕκτωρ μή με κάθιζ̓ Ἑλένη φιλέουσά περ ·
6,369,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,ὣς ἄρα φωνήσας ἀπέβη κορυθαίολος Ἕκτωρ ·
6,398,HEKTOR,χαλκοκορυστῇ,χαλκοκορυστής,,,,,Dat,Sing,Masc,,,,ADJ,whitelist,high,τοῦ περ δὴ θυγάτηρ ἔχεθ̓ Ἕκτορι χαλκοκορυστῇ .
6,440,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,τὴν δ̓ αὖτε προσέειπε μέγας κορυθαίολος Ἕκτωρ ·
6,466,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,ὣς εἰπὼν οὗ παιδὸς ὀρέξατο φαίδιμος Ἕκτωρ ·
6,472,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"αὐτίκ̓ ἀπὸ κρατὸς κόρυθ̓ εἵλετο φαίδιμος Ἕκτωρ , καὶ τὴν μὲν κατέθηκεν ἐπὶ χθονὶ παμφανόωσαν ·"
6,494,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,ὣς ἄρα φωνήσας κόρυθ̓ εἵλετο φαίδιμος Ἕκτωρ ἵππουριν ·
6,498,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,"αἶψα δ̓ ἔπειθ̓ ἵκανε δόμους εὖ ναιετάοντας Ἕκτορος ἀνδροφόνοιο , κιχήσατο δ̓ ἔνδοθι πολλὰς ἀμφιπόλους , τῇσιν δὲ γόον πάσῃσιν ἐνῶρσεν ."
6,515,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,αἶψα δ̓ ἔπειτα Ἕκτορα δῖον ἔτετμεν ἀδελφεὸν εὖτ̓ ἄῤ ἔμελλε στρέψεσθ̓ ἐκ χώρης ὅθι ᾗ ὀάριζε γυναικί . [0]
6,520,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὸν δ̓ ἀπαμειβόμενος προσέφη κορυθαίολος Ἕκτωρ ·
7,1,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ὣς εἰπὼν πυλέων ἐξέσσυτο φαίδιμος Ἕκτωρ , τῷ δ̓ ἅμ̓ Ἀλέξανδρος κί̓ ἀδελφεός ·"
7,38,HEKTOR,ἱπποδάμοιο,ἱππόδαμος,,,Apollo,Athena,Gen,Sing,Masc,,,,ADJ,whitelist,high,"Ἕκτορος ὄρσωμεν κρατερὸν μένος ἱπποδάμοιο , ἤν τινά που Δαναῶν προκαλέσσεται οἰόθεν οἶος ἀντίβιον μαχέσασθαι ἐν αἰνῇ δηϊοτῆτι , οἳ δέ κ̓ ἀγασσάμενοι χαλκοκνήμιδες Ἀχαιοὶ οἶον ἐπόρσειαν πολεμίζειν Ἕκτορι δίῳ . [0]"
7,42,HEKTOR,δίῳ,δῖος,,,Apollo,Athena,Dat,Sing,Masc,,,,ADJ,whitelist,high,"Ἕκτορος ὄρσωμεν κρατερὸν μένος ἱπποδάμοιο , ἤν τινά που Δαναῶν προκαλέσσεται οἰόθεν οἶος ἀντίβιον μαχέσασθαι ἐν αἰνῇ δηϊοτῆτι , οἳ δέ κ̓ ἀγασσάμενοι χαλκοκνήμιδες Ἀχαιοὶ οἶον ἐπόρσειαν πολεμίζειν Ἕκτορι δίῳ . [0]"
7,47,HEKTOR,υἱὲ Πριάμοιο,υἱὸς Πριάμοιο,7.47_C6,,Helenus,Hector,Voc,Sing,Masc,,,,NOUN+NOUN,whitelist,high,"Ἕκτορ υἱὲ Πριάμοιο Διὶ μῆτιν ἀτάλαντε ἦ ῥά νύ μοί τι πίθοιο , κασίγνητος δέ τοί εἰμι · [0]"
7,47,HEKTOR,ἀτάλαντε,ἀτάλαντος,7.47_C6,,Helenus,Hector,Voc,Sing,Masc,,,,ADJ,whitelist,high,"Ἕκτορ υἱὲ Πριάμοιο Διὶ μῆτιν ἀτάλαντε ἦ ῥά νύ μοί τι πίθοιο , κασίγνητος δέ τοί εἰμι · [0]"
7,75,HEKTOR,δίῳ,δῖος,,,Hector,Greeks; Trojans,Dat,Sing,Masc,,,,ADJ,whitelist,high,τῶν νῦν ὅν τινα θυμὸς ἐμοὶ μαχέσασθαι ἀνώγει δεῦῤ ἴτω ἐκ πάντων πρόμος ἔμμεναι Ἕκτορι δίῳ .
7,90,HEKTOR,φαίδιμος,φαίδιμος,,,someone,someone,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ἀνδρὸς μὲν τόδε σῆμα πάλαι κατατεθνηῶτος , ὅν ποτ̓ ἀριστεύοντα κατέκτανε φαίδιμος Ἕκτωρ . [0]"
7,111,HEKTOR,ἀμείνονι,ἀμείνων,7.112_C7,ja,Agamemnon,Menelaus,Dat,Sing,,,,,ADJ,auto-detected,high,"ἀνὰ δὲ σχέο κηδόμενός περ , μη δ̓ ἔθελ̓ ἐξ ἔριδος σεῦ ἀμείνονι φωτὶ μάχεσθαι Ἕκτορι Πριαμίδῃ , τόν τε στυγέουσι καὶ ἄλλοι . [0]"
7,112,HEKTOR,Πριαμίδῃ,Πριαμίδης,7.112_C7,,Agamemnon,Menelaus,Dat,Sing,Masc,,,,NOUN,whitelist,high,"ἀνὰ δὲ σχέο κηδόμενός περ , μη δ̓ ἔθελ̓ ἐξ ἔριδος σεῦ ἀμείνονι φωτὶ μάχεσθαι Ἕκτορι Πριαμίδῃ , τόν τε στυγέουσι καὶ ἄλλοι . [0]"
7,158,HEKTOR,κορυθαίολος,κορυθαίολος,,,Nestor,Greeks,Nom,Sing,Masc,,,,ADJ,whitelist,high,τώ κε τάχ̓ ἀντήσειε μάχης κορυθαίολος Ἕκτωρ .
7,169,HEKTOR,δίῳ,δῖος,,,,,Dat,Sing,Masc,,,,ADJ,whitelist,high,πάντες ἄῤ οἵ γ̓ ἔθελον πολεμίζειν Ἕκτορι δίῳ .
7,192,HEKTOR,δῖον,δῖος,,,Aias (son of Telamon),Greeks,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ὦ φίλοι ἤτοι κλῆρος ἐμός , χαίρω δὲ καὶ αὐτὸς θυμῷ , ἐπεὶ δοκέω νικησέμεν Ἕκτορα δῖον . [0]"
7,233,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,τὸν δ̓ αὖτε προσέειπε μέγας κορυθαίολος Ἕκτωρ ·
7,250,HEKTOR,Πριαμίδαο,Πριαμίδης,,,,,Gen,Sing,Masc,,,,NOUN,whitelist,review,"δεύτερος αὖτε Αἴας διογενὴς προΐει δολιχόσκιον ἔγχος , καὶ βάλε Πριαμίδαο κατ̓ ἀσπίδα πάντοσ̓ ἐΐσην ."
7,258,HEKTOR,Πριαμίδης,Πριαμίδης,,,,,Nom,Sing,Masc,,,,NOUN,whitelist,review,"Πριαμίδης μὲν ἔπειτα μέσον σάκος οὔτασε δουρί , οὐ δ̓ ἔρρηξεν χαλκός , ἀνεγνάμφθη δέ οἱ αἰχμή ."
7,263,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ἣ δὲ διαπρὸ ἤλυθεν ἐγχείη , στυφέλιξε δέ μιν μεμαῶτα , τμήδην δ̓ αὐχέν̓ ἐπῆλθε , μέλαν δ̓ ἀνεκήκιεν αἷμα , ἀλλ̓ οὐ δ̓ ὧς ἀπέληγε μάχης κορυθαίολος Ἕκτωρ , ἀλλ̓ ἀναχασσάμενος λίθον εἵλετο χειρὶ παχείῃ κείμενον ἐν πεδίῳ μέλανα τρηχύν τε μέγαν τε ·"
7,287,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,τὸν δ̓ αὖτε προσέειπε μέγας κορυθαίολος Ἕκτωρ ·
8,89,HEKTOR,θρασὺν,θρασύς,,ja,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ὄφῤ ὁ γέρων ἵπποιο παρηορίας ἀπέταμνε φασγάνῳ ἀΐσσων , τόφῤ Ἕκτορος ὠκέες ἵπποι ἦλθον ἀν̓ ἰωχμὸν θρασὺν ἡνίοχον φορέοντες Ἕκτορα · [0]"
8,160,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,τῷ δ̓ ἐπὶ μακρὸν ἄϋσε μέγας κορυθαίολος Ἕκτωρ ·
8,215,HEKTOR,ἀτάλαντος,ἀτάλαντος,8.216_C8,ja,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"εἴλει δὲ θοῷ ἀτάλαντος Ἄρηϊ Ἕκτωρ Πριαμίδης , ὅτε οἱ Ζεὺς κῦδος ἔδωκε ."
8,216,HEKTOR,Πριαμίδης,Πριαμίδης,8.216_C8,,,,Nom,Sing,Masc,,,,NOUN,whitelist,high,"εἴλει δὲ θοῷ ἀτάλαντος Ἄρηϊ Ἕκτωρ Πριαμίδης , ὅτε οἱ Ζεὺς κῦδος ἔδωκε ."
8,324,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"τὸν δ̓ αὖ κορυθαίολος Ἕκτωρ αὐερύοντα παῤ ὦμον , ὅθι κληῒς ἀποέργει αὐχένα τε στῆθός τε , μάλιστα δὲ καίριόν ἐστι , τῇ ῥ̓ ἐπὶ οἷ μεμαῶτα βάλεν λίθῳ ὀκριόεντι , ῥῆξε δέ οἱ νευρήν ·"
8,356,HEKTOR,Πριαμίδης,Πριαμίδης,,,Hera,Athena,Nom,Sing,Masc,,,,NOUN,whitelist,high,"οἵ κεν δὴ κακὸν οἶτον ἀναπλήσαντες ὄλωνται ἀνδρὸς ἑνὸς ῥιπῇ , ὃ δὲ μαίνεται οὐκέτ̓ ἀνεκτῶς Ἕκτωρ Πριαμίδης , καὶ δὴ κακὰ πολλὰ ἔοργε . [0]"
