Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
4,181,4.181,ΜΕΝΕΛΑΟΣ,ἀγαθὸν Μενέλαον,someone,someone,σὺν κεινῇσιν νηυσὶ λιπὼν ἀγαθὸν Μενέλαον.
4,183,4.183,ΜΕΝΕΛΑΟΣ,τὸν,,,τὸν δ’ ἐπιθαρσύνων προσέφη ξανθὸς Μενέλαος·
4,183,4.183,ΜΕΝΕΛΑΟΣ,δ’,,,τὸν δ’ ἐπιθαρσύνων προσέφη ξανθὸς Μενέλαος·
4,183,4.183,ΜΕΝΕΛΑΟΣ,ἐπιθαρσύνων,,,τὸν δ’ ἐπιθαρσύνων προσέφη ξανθὸς Μενέλαος·
4,183,4.183,ΜΕΝΕΛΑΟΣ,προσέφη,,,τὸν δ’ ἐπιθαρσύνων προσέφη ξανθὸς Μενέλαος·
4,183,4.183,ΜΕΝΕΛΑΟΣ,ξανθὸς,,,τὸν δ’ ἐπιθαρσύνων προσέφη ξανθὸς Μενέλαος·
4,183,4.183,ΜΕΝΕΛΑΟΣ,ξανθὸς Μενέλαος,,,τὸν δ’ ἐπιθαρσύνων προσέφη ξανθὸς Μενέλαος·
4,188,4.188,ΑΓΑΜΕΜΝΩΝ,τὸν,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
4,188,4.188,ΑΓΑΜΕΜΝΩΝ,δ’,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
4,188,4.188,ΑΓΑΜΕΜΝΩΝ,ἀπαμειβόμενος,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
4,188,4.188,ΑΓΑΜΕΜΝΩΝ,προσέφη,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
4,188,4.188,ΑΓΑΜΕΜΝΩΝ,κρείων,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
4,188,4.188,ΑΓΑΜΕΜΝΩΝ,κρείων Ἀγαμέμνων,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
4,195,4.195,ΜΕΝΕΛΑΟΣ,ὄφρα,Agamemnon,Talthybius,"ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν,"
4,195,4.195,ΜΕΝΕΛΑΟΣ,ἴδῃ,Agamemnon,Talthybius,"ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν,"
4,195,4.195,ΜΕΝΕΛΑΟΣ,ἀρήϊον,Agamemnon,Talthybius,"ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν,"
4,195,4.195,ΜΕΝΕΛΑΟΣ,υἱόν,Agamemnon,Talthybius,"ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν,"
4,195,4.195,ΜΕΝΕΛΑΟΣ,Μενέλαον ἀρήϊον,Agamemnon,Talthybius,"ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν,"
4,195,4.195,ΜΕΝΕΛΑΟΣ,ἀρήϊον Ἀτρέος,Agamemnon,Talthybius,"ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν,"
4,195,4.195,ΜΕΝΕΛΑΟΣ,ἀρήϊον Ἀτρέος υἱόν,Agamemnon,Talthybius,"ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν,"
4,204,4.204,ΑΓΑΜΕΜΝΩΝ,ὄρσ’,Talthybius,Machaon,"ὄρσ’ Ἀσκληπιάδη, καλέει κρείων Ἀγαμέμνων,"
