Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
2,225,2.225,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδη,Thersites,Agamemnon,Ἀτρεΐδη τέο δ’ αὖτ’ ἐπιμέμφεαι ἠδὲ χατίζεις;
2,239,2.239,ΑΧΙΛΛΕΥΣ,ἕο,Thersites,Agamemnon,ὃς καὶ νῦν Ἀχιλῆα ἕο μέγ’ ἀμείνονα φῶτα
2,239,2.239,ΑΧΙΛΛΕΥΣ,ἀμείνονα,Thersites,Agamemnon,ὃς καὶ νῦν Ἀχιλῆα ἕο μέγ’ ἀμείνονα φῶτα
2,244,2.244,ΟΔΥΣΣΕΥΣ,δῖος,,,"Θερσίτης· τῷ δ’ ὦκα παρίστατο δῖος Ὀδυσσεύς,"
2,254,2.254,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδῃ,Odysseus,Thersites,τὼ νῦν Ἀτρεΐδῃ Ἀγαμέμνονι ποιμένι λαῶν
2,278,2.278,ΟΔΥΣΣΕΥΣ,πτολίπορθος,,,ὣς φάσαν ἣ πληθύς· ἀνὰ δ’ ὃ πτολίπορθος Ὀδυσσεὺς
2,335,2.335,ΟΔΥΣΣΕΥΣ,θείοιο,,,μῦθον ἐπαινήσαντες Ὀδυσσῆος θείοιο·
2,336,2.336,ΝΕΣΤΩΡ,Γερήνιος,,,τοῖσι δὲ καὶ μετέειπε Γερήνιος ἱππότα Νέστωρ·
2,336,2.336,ΝΕΣΤΩΡ,ἱππότα,,,τοῖσι δὲ καὶ μετέειπε Γερήνιος ἱππότα Νέστωρ·
2,369,2.369,ΑΓΑΜΕΜΝΩΝ,κρείων,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
2,402,2.402,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,αὐτὰρ ὃ βοῦν ἱέρευσε ἄναξ ἀνδρῶν Ἀγαμέμνων
2,407,2.407,ΟΔΥΣΣΕΥΣ,ἕκτον,,,ἕκτον δ’ αὖτ’ Ὀδυσῆα Διὶ μῆτιν ἀτάλαντον.
2,407,2.407,ΟΔΥΣΣΕΥΣ,αὖτ’,,,ἕκτον δ’ αὖτ’ Ὀδυσῆα Διὶ μῆτιν ἀτάλαντον.
2,407,2.407,ΟΔΥΣΣΕΥΣ,ἀτάλαντον,,,ἕκτον δ’ αὖτ’ Ὀδυσῆα Διὶ μῆτιν ἀτάλαντον.
2,408,2.408,ΜΕΝΕΛΑΟΣ,ἀγαθὸς,,,αὐτόματος δέ οἱ ἦλθε βοὴν ἀγαθὸς Μενέλαος·
2,408,2.408,ΜΕΝΕΛΑΟΣ,βοὴν ἀγαθὸς,,,αὐτόματος δέ οἱ ἦλθε βοὴν ἀγαθὸς Μενέλαος·
2,433,2.433,ΝΕΣΤΩΡ,Γερήνιος,,,τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ·
2,433,2.433,ΝΕΣΤΩΡ,ἱππότα,,,τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ·
2,434,2.434,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδη,Nestor,Agamemnon,"Ἀτρεΐδη κύδιστε ἄναξ ἀνδρῶν Ἀγάμεμνον,"
2,434,2.434,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,Nestor,Agamemnon,"Ἀτρεΐδη κύδιστε ἄναξ ἀνδρῶν Ἀγάμεμνον,"
2,441,2.441,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,"ὣς ἔφατ’, οὐδ’ ἀπίθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων."
2,482,2.482,ΑΓΑΜΕΜΝΩΝ,τοῖον,,,τοῖον ἄρ’ Ἀτρεΐδην θῆκε Ζεὺς ἤματι κείνῳ
2,482,2.482,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδην,,,τοῖον ἄρ’ Ἀτρεΐδην θῆκε Ζεὺς ἤματι κείνῳ
2,527,2.527,ΑΙΑΣ,ταχὺς,,,Λοκρῶν δ’ ἡγεμόνευεν Ὀϊλῆος ταχὺς Αἴας
2,528,2.528,ΑΙΑΣ,τόσος,,,"μείων, οὔ τι τόσος γε ὅσος Τελαμώνιος Αἴας"
2,528,2.528,ΑΙΑΣ,ὅσος,,,"μείων, οὔ τι τόσος γε ὅσος Τελαμώνιος Αἴας"
2,528,2.528,ΑΙΑΣ,Τελαμώνιος,,,"μείων, οὔ τι τόσος γε ὅσος Τελαμώνιος Αἴας"
2,555,2.555,ΝΕΣΤΩΡ,οἶος,,,Νέστωρ οἶος ἔριζεν· ὃ γὰρ προγενέστερος ἦεν·
2,563,2.563,ΔΙΟΜΗΔΗΣ,ἀγαθὸς,,,τῶν αὖθ’ ἡγεμόνευε βοὴν ἀγαθὸς Διομήδης
2,563,2.563,ΔΙΟΜΗΔΗΣ,βοὴν ἀγαθὸς,,,τῶν αὖθ’ ἡγεμόνευε βοὴν ἀγαθὸς Διομήδης
