Book,Line,Token,Lemma,POS,Morph,FilterReason
10,392,ἵππους,ἵππος,NOUN,"{'pos': 'NOUN', 'number': 'Plur', 'gender': 'Masc', 'case': 'Acc'}",POS_not_ADJ_or_Part
10,414,μὲν,μέν,DET,{'pos': 'DET'},POS_not_ADJ_or_Part
10,414,μετὰ,μετά,ADP,{'pos': 'ADP'},POS_not_ADJ_or_Part
10,414,τοῖσιν,ὁ,PRON,"{'pos': 'PRON', 'number': 'Plur', 'gender': 'Masc', 'case': 'Dat'}",POS_not_ADJ_or_Part
10,414,ὅσοι,ὅσος,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'})"
10,414,βουληφόροι,βουληφόρος,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'})"
10,414,εἰσί,εἰμί,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Plur', 'tense': 'Pres', 'mood': 'Ind', 'voice': 'Act'}",POS_not_ADJ_or_Part
10,562,τόν,ὁ,PRON,"{'pos': 'PRON', 'number': 'Sing', 'gender': 'Masc', 'case': 'Acc'}",POS_not_ADJ_or_Part
10,562,διοπτῆρα,διοπτήρ,NOUN,"{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Acc'}",POS_not_ADJ_or_Part
10,562,στρατοῦ,στρατόω,VERB,"{'pos': 'VERB', 'person': '2', 'number': 'Sing', 'tense': 'Pres', 'mood': 'Imp', 'voice': 'Mp'}",POS_not_ADJ_or_Part
10,562,ἔμμεναι,εἰμί,VERB,"{'pos': 'VERB', 'tense': 'Pres', 'mood': 'Inf', 'voice': 'Act'}",POS_not_ADJ_or_Part
10,562,ἡμετέροιο,ἡμέτερος,ADJ,"{'pos': 'ADJ', 'number': 'Sing', 'gender': 'Masc', 'case': 'Gen'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Sing', 'gender': 'Masc', 'case': 'Gen'})"
10,563,προέηκε,προίημι,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Aor', 'mood': 'Ind', 'voice': 'Act'}",POS_not_ADJ_or_Part
10,563,καὶ,καί,CONJ,{'pos': 'CONJ'},POS_not_ADJ_or_Part
10,563,ἄλλοι,ἄλλος,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'})"
10,563,Τρῶες,Τρώς,NOUN,"{'pos': 'NOUN', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'}",POS_not_ADJ_or_Part
10,563,ἀγαυοί,ἀγαυός,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Nom'})"
11,61,πρώτοισι,πρῶτος,ADJ,"{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Dat'}","Agreement_fail (Hektor:{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Masc', 'case': 'Nom'} vs Epithet:{'pos': 'ADJ', 'number': 'Plur', 'gender': 'Masc', 'case': 'Dat'})"
11,61,φέῤ,φέρω,VERB,"{'pos': 'VERB', 'person': '3', 'number': 'Sing', 'tense': 'Impf', 'mood': 'Ind', 'voice': 'Act'}",POS_not_ADJ_or_Part
11,61,ἀσπίδα,ἀσπίς,NOUN,"{'pos': 'NOUN', 'number': 'Sing', 'gender': 'Fem', 'case': 'Acc'}",POS_not_ADJ_or_Part
